,book,character
0,Gardens of the Moon,Tattersail
1,Gardens of the Moon,Hairlock
2,Gardens of the Moon,Calot
3,Gardens of the Moon,Toc the Younger
4,Gardens of the Moon,Sergeant Whiskeyjack
5,Gardens of the Moon,Corporal Kalam
6,Gardens of the Moon,Quick Ben
7,Gardens of the Moon,Sorry
8,Gardens of the Moon,Hedge
9,Gardens of the Moon,Fiddler
10,Gardens of the Moon,Trotts
11,Gardens of the Moon,Mallet
12,Gardens of the Moon,Sergeant Antsy
13,Gardens of the Moon,Picker
14,Gardens of the Moon,Ganoes Stabro Paran
15,Gardens of the Moon,Dujek Onearm
16,Gardens of the Moon,Tayschrenn
17,Gardens of the Moon,Bellurdan
18,Gardens of the Moon,Nightchill
19,Gardens of the Moon,A'Karonys
20,Gardens of the Moon,Lorn
21,Gardens of the Moon,Topper
22,Gardens of the Moon,Empress Laseen
23,Gardens of the Moon,Tavore
24,Gardens of the Moon,Felisin
25,Gardens of the Moon,Gamet
26,Gardens of the Moon,Emperor Kellanved
27,Gardens of the Moon,Dancer
28,Gardens of the Moon,Surly
29,Gardens of the Moon,Dassem Ultor
30,Gardens of the Moon,Toc (the Elder)
31,Gardens of the Moon,Kruppe
32,Gardens of the Moon,Crokus Younghand
33,Gardens of the Moon,Rallick Nom
34,Gardens of the Moon,Murillio
35,Gardens of the Moon,Coll
36,Gardens of the Moon,Meese
37,Gardens of the Moon,Irilta
38,Gardens of the Moon,Scurve
39,Gardens of the Moon,Sulty
40,Gardens of the Moon,Chert
41,Gardens of the Moon,Baruk
42,Gardens of the Moon,Derudan
43,Gardens of the Moon,Mammot
44,Gardens of the Moon,Travale
45,Gardens of the Moon,Tholis
46,Gardens of the Moon,Parald
47,Gardens of the Moon,Turban Orr
48,Gardens of the Moon,Lim
49,Gardens of the Moon,Simtal
50,Gardens of the Moon,Estraysian D'Arle
51,Gardens of the Moon,Challice D'Arle
52,Gardens of the Moon,Vorcan
53,Gardens of the Moon,Ocelot
54,Gardens of the Moon,Talo Krafar
55,Gardens of the Moon,Krute of Talient
56,Gardens of the Moon,The Eel
57,Gardens of the Moon,Circle Breaker
58,Gardens of the Moon,Vildron
59,Gardens of the Moon,Captain Stillis
60,Gardens of the Moon,Anomander Rake
61,Gardens of the Moon,Serrat
62,Gardens of the Moon,Korlat
63,Gardens of the Moon,Orfantal
64,Gardens of the Moon,Horult
65,Gardens of the Moon,Logros
66,Gardens of the Moon,Onos T'oolan
67,Gardens of the Moon,Pran Chole
68,Gardens of the Moon,Kig Aven
69,Gardens of the Moon,Crone
70,Gardens of the Moon,Silanah
71,Gardens of the Moon,Raest
72,Gardens of the Moon,K'rul
73,Gardens of the Moon,Caladan Brood
74,Gardens of the Moon,Kallor
75,Gardens of the Moon,Prince K'azz D'Avore
76,Gardens of the Moon,Jorrick Sharplance
77,Gardens of the Moon,Cowl
78,Gardens of the Moon,Corporal Blues
79,Gardens of the Moon,Fingers
80,Gardens of the Moon,The Hound Baran
81,Gardens of the Moon,The Hound Blind
82,Gardens of the Moon,The Hound Gear
83,Gardens of the Moon,The Hound Rood
84,Gardens of the Moon,The Hound Shan
85,Gardens of the Moon,The Hound Doan
86,Gardens of the Moon,The Hound Ganrod
87,Gardens of the Moon,Shadowthrone/Ammanas
88,Gardens of the Moon,The Rope/Cotillion
89,Gardens of the Moon,Icarium
90,Gardens of the Moon,Mappo
91,Gardens of the Moon,The Pannion Seer
92,Deadhouse Gates,Icarium
93,Deadhouse Gates,Mappo
94,Deadhouse Gates,Iskaral Pust
95,Deadhouse Gates,Ryllandaras
96,Deadhouse Gates,Messremb
97,Deadhouse Gates,Gryllen
98,Deadhouse Gates,Mogora
99,Deadhouse Gates,Felisin
100,Deadhouse Gates,Heboric Light Touch
101,Deadhouse Gates,Baudin
102,Deadhouse Gates,Fiddler
103,Deadhouse Gates,Crokus
104,Deadhouse Gates,Apsalar
105,Deadhouse Gates,Kalam
106,Deadhouse Gates,Duiker
107,Deadhouse Gates,Kulp
108,Deadhouse Gates,Mallick Rel
109,Deadhouse Gates,Sawark
110,Deadhouse Gates,Pella
111,Deadhouse Gates,Pormqual
112,Deadhouse Gates,Blistig
113,Deadhouse Gates,Topper
114,Deadhouse Gates,Lull
115,Deadhouse Gates,Chenned
116,Deadhouse Gates,Sulmar
117,Deadhouse Gates,List
118,Deadhouse Gates,Mincer
119,Deadhouse Gates,Cuttle
120,Deadhouse Gates,Gesler
121,Deadhouse Gates,Stormy
122,Deadhouse Gates,Truth
123,Deadhouse Gates,Squint
124,Deadhouse Gates,Pearl
125,Deadhouse Gates,Captain Keneb
126,Deadhouse Gates,Selv
127,Deadhouse Gates,Minala
128,Deadhouse Gates,Kesen
129,Deadhouse Gates,Vaneb
130,Deadhouse Gates,Captain
131,Deadhouse Gates,Bent
132,Deadhouse Gates,Roach
133,Deadhouse Gates,Coltaine
134,Deadhouse Gates,Temul
135,Deadhouse Gates,Sormo E'nath
136,Deadhouse Gates,Nil
137,Deadhouse Gates,Nether
138,Deadhouse Gates,Bult
139,Deadhouse Gates,Baria Setral
140,Deadhouse Gates,Mesker Setral
141,Deadhouse Gates,Tene Baralta
142,Deadhouse Gates,Aralt Arpat
143,Deadhouse Gates,Lostara Yil
144,Deadhouse Gates,Nethpara
145,Deadhouse Gates,Lenestro
146,Deadhouse Gates,Pullyk Alar
147,Deadhouse Gates,Tumlit
148,Deadhouse Gates,Sha'ik
